# Creation le 07/12/2009
#
# Thèses / Ph.D dissertations
#
# Ce fichier est utilisé pour créer les pages html des Thèses (publi.ph.xxx.html)
# 7 champs sont possibles et le séparateur de champ est |
# Les lignes doivent commencer et finir avec un |
# Le format d'une ligne est :
# |année xxxx|Auteur|Titre|Références (type,lieu,mention..)|Directeur(s)|Nom du fichier pdf|
#
# Attention il ne doit pas y avoir " dans les champs
# On peut les remplacer par leur code en html ==> &quot;
#
2006|Lema&icirc;tre C. Dynamique|d'un film d'eau de pluie sur un hauban de pont soumis au vent|Th&egrave;se de doctorat, &#201;cole Polytechnique, Palaiseau, 2006. Mention : &quot;Tr&egrave;s honorable&quot;|Directeurs de th&egrave;se : E. de Langre et P. H&eacute;mon|C.Lemaitre.PhD.pdf|
2006|Lesshafft L|Modes globaux non-lin&eacute;aires et rayonnement acoustique dans les jets chauds|Th&egrave;se de doctorat, &#201;cole Polytechnique, Palaiseau, 2006. Mention : &quot;Tr&egrave;s honorable avec f&eacute;licitations &quot;|Directeurs de th&egrave;se : P. Huerre et P. Sagaut|L.Lesshafft.PhD.pdf|
2007|Deloncle A|Three dimensional instabilities in stratified fluids|Thèse de doctorat, &#201;cole Polytechnique, Palaiseau, 2007. Mention : &quot;Très honorable&quot;|Directeurs de thèse : P. Billant et J. M. Chomaz|A.Deloncle.PhD.pdf|
2007|Guégan A|Optimal perturbations in swept leading-edge boundary layers|Thèse de doctorat, &#201;cole Polytechnique, Palaiseau, 2007. Mention : &quot;Très honorable&quot;|Directeurs de thèse : P.Huerre et P. Schmid|A.Guegan.PhD.pdf|
2007|Ody C|Dynamique de microbouchons dans un canal et une bifurcation|Thèse de Doctorat, &#201;cole Polytechnique, Palaiseau, 2007. Mention : &quot;Très honorable&quot;|Directeurs de thèse : C. Baroud et E. de Langre|C.Ody.PhD.pdf|
2008|Donnadieu C|Dynamique des sillages tourbillonnaires en milieu homogène et stratifié|Thèse de doctorat, &#201;cole Polytechnique, Palaiseau, 2008. Mention : &quot;Très honorable&quot;|Directeurs de thèse : S. Ortiz, J.M. Chomaz et P. Billant|C.Donnadieu.PhD.pdf|
2009|Cordero M-L|Contrôle optique de gouttes microfluidique|Thèse de doctorat, École Polytechnique, Palaiseau. Mention : &quot;Très honorable&quot;|Directeur de thèse : Charles Baroud|M-L.Cordero.PhD.pdf|
2009|Gosselin F|Mécanismes d'interactions fluide-structure entre écoulements et végétation|Thèse de doctorat, École Polytechnique. Mention : &quot;Très honorable&quot;|Directeur de thèse : Emmanuel de Langre|F.Gosselin.PhD.pdf|
2009|Mack C|Global stability of compressible flow about a swept parabolic body|Thèse de doctorat, École Polytechnique. Mention : &quot;Très honorable&quot;|Directeur de thèse : Peter Schmid|C.Mack.PhD.pdf|
2009|Pujals G|Perturbations optimales dans les écoulements de paroi turbulents et application au contrôle de décollement|Thèse de doctorat, École Polytechnique. Mention : &quot;Très honorable&quot;|Directeur de thèse : Carlo Cossu|G.Pujal.PhD.pdf|
2009|Rodriguez M|Evolution et organisation spatiale de la dynamique vibratoire des arbres au cours de leur développement|Thèse de doctorat, École Polytechnique. Mention : &quot;Très honorable&quot;|Directeur de thèse : Emmanuel de Langre|M.Rodriguez.PhD.pdf|
2009|Violette R|Modèle linéaire des vibrations induites par vortex de structures élancées|Thèse de doctorat, École Polytechnique. Mention : &quot;Très honorable&quot;|Directeur de thèse : Emmanuel de Langre|R.Violette.PhD.pdf|
2010|Vyazmina E|Bifurcation in a swirling flow|Thèse de doctorat, École Polytechnique. Mention : &quot;Très honorable&quot;|Directeur de thèse : Jean-Marc Chomaz &amp; Peter Schmid|E.Vyazmina.PhD.pdf|
2010|Le Merrer M|Dissipation aux interfaces : caléfaction, sillages, filaments visqueux|Thèse de doctorat, École Polytechnique. Mention : &quot;Très honorable&quot;|Directeurs de thèse : Christophe Clanet &amp; David Quéré|M.Le-Merrer.PhD.pdf|
2010|Seiwert J|Entraînements visqueux|Thèse de doctorat, École Polytechnique. Mention : &quot;Très honorable&quot;|Directeurs de thèse : Christophe Clanet &amp; David Quéré|J.Seiwert.PhD.pdf|
2010|Manzoor S.|Transient Instability Mechanisms by Frequency Coalescence in Fluid Structure Systems|Thèse de doctorat, École Polytechnique. Mention : &quot;Très honorable&quot;|Directeur de thèse : Pascal Hémon|S.Manzoor.PhD.pdf|
2010|Song Y|Evolution of two-phase flow in networks of branching microchannels|Thèse de doctorat, École Polytechnique, Palaiseau, 2010|Directeur de thèse : Charles Baroud|Y.Song.PhD.pdf|
2010|Hwang Y|Large-scale streaks in wall-bounded turbulent flows: amplification, instability, self-sustaining process and control|Thèse de doctorat, École Polytechnique, Palaiseau, 2010|Directeur de thèse : Carlo Cossu|Y.Hwang.PhD.pdf|
2011|Piroird K|Dynamiques spéciales de gouttes non-mouillantes|Thèse de doctorat, École Polytechnique. Mention : &quot;Très honorable&quot;|Directeurs de thèse : David Quéré &amp; Christophe Clanet|K.Piroird.PhD.pdf|
2011|Arratia Martinez C|Mécanismes d'instabilité non-modaux dans les écoulements cisaillés avec et sans stratification en densité|Thèse de doctorat, Ecole Polytechnique. Mention : &quot;Très honorable&quot;|Directeurs de thèse : Jean-Marc Chomaz et Sabine Ortiz|C.Arratia.PhD.pdf|
2011|Augier P|Turbulence en milieu stratifié : étude des mécanismes de la cascade|Thèse de doctorat, Ecole Polytechnique. Mention : &quot;Très honorable&quot;, Prix de thèse de l'Ecole Polytechnique|Directeurs de thèse : Paul Billant et Jean-Marc Chomaz|P.Augier.PhD.pdf|
2011|Barbagallo A|Control of oscillator and amplifier flows based on reduced-order models|Thèse de doctorat, Ecole Polytechnique|Directeur de thèse : Peter Schmid|A.Barbagallo.PhD.pdf|
2011|Benbaba S|Analyse de stabilité globale pour un écoulement transsonique soumis au phénomène de tremblement de voilure|Thèse de doctorat, Ecole Polytechnique. Mention : &quot;Très honorable&quot;|Directeurs de thèse : Peter J. Schmid et Denis Sipp|S.Banbaba.PhD.pdf|
2011|Soundar Jerome J. J|Transient growth in Rayleigh-Bénard-Poiseuille/Couette flows|Thèse de doctorat, Ecole Polytechnique|Directeurs de thèse : J. M. Chomaz &amp; P. Huerre|J.Soundar.PhD.pdf|
2012|Dangla R|2D droplet microfluidics driven by confinement gradients|Thèse de doctorat, Ecole Polytechnique, Mention : &quot;Très honorable&quot;|Directeur de thèse : Charles Baroud|R.Dangla.PhD.pdf|
2012|Der Loughian C|Effets de la dynamique sur la croissance du peuplier en réponse à une stimulation mécanique externe|Thèse de doctorat, Ecole Polytechnique, Mention : &quot;Très honorable&quot;|Directeur de thèse : Emmanuel de Langre|C.Der.Loughian.PhD.pdf|
2012|Durth M|Dynamiques d'aspirations d'interfaces complexes|Thèse de doctorat, Ecole Polytechnique, Mention : &quot;Très honorable&quot;|Directeur de thèse: Christophe Clanet|M.Durth.PhD.pdf|
2012|Fosas de Pando M. A|Tonal noise generation in flows around aerofoils: a global stability analysis|Thèse de doctorat, Ecole Polytechnique, Mention : &quot;Très honorable&quot;|Directeurs de thèse : Peter J. Schmid  &amp; Denis Sipp|M.FosasdePando.PhD.pdf|
2012|Garnaud X|Modes,transient dynamics and forced response of circular jets|Thèse de doctorat de l'École Polytechnique|Co-directeurs de thèse : Lutz Lesshafft,  Patrick Huerre  &amp; Peter J. Schmid|X.Garnaud.PhD.pdf|
2012|Hervé A|Optimal closed loop control of hydrodynamic instabilities using reduced order model identification|Thèse de doctorat, Directeurs de thèse|Denis Sipp et Peter J. Schmid|A.Herve.PhD.pdf|
2012|Ghalya N|Interactions hydrodynamiques entre une particule solide et une paroi plane avec une condition de glissement de Navier|Thèse de doctorat de l'École Polytechnique|Co-directeurs de thèse : Antoine Sellier  &amp; Lassaad Elasmi|N.Ghalya.PhD.pdf|
2012|Lopez D|Modèles de stratégies de reconfiguration dans les plantes soumises à un écoulement|Thèse de doctorat, Ecole Polytechnique, Mention : &quot;Très honorable&quot;|Directeur de thèse : Emmanuel de Langre|D.Lopez.PhD.pdf|
2012|Park J|Ondes et instabilités sur les tourbillons en milieu stratifié-tournant|Thèse de doctorat, Ecole Polytechnique, Mention : &quot;Très honorable&quot;|Directeur de thèse : Paul Billant|J.Park.PhD.pdf|
2012|Ponomarenko A|Two phenomenons dealing with plants: the capillary ascension of liquids in corners and lodging of cereals and trees|Thèse de doctorat, Ecole doctorale de Physique UPMC|Co-directeurs de thèse: David Quéré et Christophe Clanet|A.Barbagallo.PhD.pdf|
2012|Rolland J|Etude numérique à petite et grande échelle de la bande laminaire turbulente de l'écoulement de Couette plan transitionel|Thèse de doctorat, Ecole Polytechnique, Mention : &quot;Très honorable&quot;|Directeur de thèse : Paul Manneville|J.Rolland.PhD.pdf|
2012|Theckes B|Amortissement par le branchement des structures flexibles : une approche bio-inspirée des arbres|Thèse de doctorat, Ecole Polytechnique, Mention : &quot;Très honorable&quot;|Directeur de thèse : Emmanuel de Langre|B.Theckes.PhD.pdf|
2013|Benusiglio A|Indiscrétions à la surface|Thèse de doctorat, Ecole Polytechnique|Co-directeurs de thèse : Christophe Clanet et David Quéré|A.Benusiglio.PhD.pdf|
2013|Bozsak F|Conception des stents inspirés par la mécanique des fluides|Thèse de doctorat, Ecole Polytechnique, Mention : &quot;Très honorable&quot;|Co-directeurs de thèse : Abdul Barakat et Jean-Marc Chomaz|F.Bozsak-PhD.pdf|
2013|Darbois-Texier B|Tartaglia, Zigzag et Flips : les particules denses à haut Reynolds|Thèse de doctorat, Ecole Polytechnique|Co-directeurs de thèse : Christophe Clanet et David Quéré|B.Darbois-Texier.PhD.pdf|
2013|Dupeux G|Propulsion et friction d'objets non mouillants|Thèse de doctorat, Ecole Polytechnique|Co-directeurs de thèse : Christophe Clanet et David Quéré|G.Dupeux.PhD.pdf|
2013|Fradet E|Monitoring biochemical reactions in stationary droplets|Thèse de doctorat, Ecole Polytechnique|Directeur de thèse : Charles N. Baroud|E.Fradet.PhD.pdf|
2013|Grouthier C|Vibrations induites par détachement tourbillonnaire sur un système flexible long et récupération d'énergie|Thèse de doctorat, Ecole Polytechnique|Co-directeurs de thèse : Emmanuel de Langre et Sébastien Michelin|C.Grouthier.PhD.pdf|
2013|Juillet F|Control of convection-dominated flows|Thèse de doctorat, Ecole Polytechnique|Co-directeurs de thèse : Peter J. Schmid et Patrick Huerre|F.Juillet.PhD.pdf|
2013|Meneghello G|Stability and receptivity of the swept-wing attachment-line boundary layer|Thèse de doctorat, Ecole Polytechnique, Mention : &quot;Très honorable&quot;|Co-directeurs de thèse : Peter J. Schmid et Patrick Huerre|G.Meneghello.PhD.pdf|
2013|Raux P|Interfaces mobiles : friction en mouillage nul et dynamiques de fronts|Thèse de doctorat, Ecole Polytechnique|Co-directeurs de thèse : Christophe Clanet et David Quéré|P.Raux.PhD.pdf|
2014|Cohen C|Physique du sport|Thèse de doctorat, Ecole Polytechnique|Co-directeurs de thèse : Christophe Clanet et David Quéré|C.Cohen.PhD.pdf|
2014|Dovetta N|Contrôle en boucle fermée de la couche limite turbulente : une étude théorique, numérique et expérimentale|Thèse de doctorat, Ecole Polytechnique|Co-directeurs de thèse : Peter J. Schmid et Denis Sipp|N.Dovetta.PhD.pdf|
2014|Guémas M|Hydrodynamique de bulles dans un milieux visqueux et mélange induit|Thèse de doctorat, Ecole Polytechnique|Co-directeurs de thèse : Antoine  Sellier et Franck Pigeonneau|M.Guemas.PhD.pdf|
2014|Gouget C|Modélisation de la réponse des cellules endothéliales à une sollicitation mécanique|Thèse de doctorat, Ecole Polytechnique|Directeur de thèse : Abdul Barakat|C.Gouget.PhD.pdf|
2014|Soto D|Physique et mécanique du dépôt de fluide|Thèse de doctorat, Ecole Polytechnique|Co-directeurs de thèse : David Quéré et Christophe Clanet|D.Soto.PhD.pdf|
2014|Thevenin R|Mise au point de nouveaux matériaux anti-givre et anti-buée|Thèse de doctorat, Ecole Polytechnique|Co-directeurs de thèse : David Quéré et Christophe Clanet|R.Thevenin.PhD.pdf|
2015|Bintein P. B|gouttes funambules et application à la fabrication industrielle de laine de verre|Thèse de doctorat, Ecole Polytechnique|Co-directeurs de thèse : David Quéré et Christophe Clanet|P-B.Bintein.PhD.pdf|
2015|Blanchard M|Linear and nonlinear dynamics of laminar premixed flames submitted to flow oscillations|Thèse de doctorat, Ecole Polytechnique|Directeur de thèse : Peter J. Schmid|M.Blanchard.PhD.pdf|
2015|Gauthier A|Solides couverts de vapeur : caractère omniphobe, friction et hypervélocité|Thèse de doctorat, Ecole Polytechnique|Co-directeurs de thèse : David Quéré et Christophe Clanet|A.Gauthier.PhD.pdf|
2015|Ravilla Chakravarthy|Local and global dynamics of buoyant jets and plumes|Thèse de doctorat, Ecole Polytechnique|Co-directeurs de thèse : Lutz Lesshafft et Patrick Huerre|V.K.Chakravarthy.PhD.pdf|
2015|Taccoen N|Echanges solides et fluides entre une gouttes microfluidique et son milieu|Thèse de doctorat, Ecole Polytechnique|Directeur de thèse : Charles Baroud|N.Taccoen.PhD.pdf|
2015|Tadrist L|Dynamique vibratoire des petits organes végétaux|Thèse de doctorat, Ecole Polytechnique|Co-directeurs de thèse : Emmanuel de Langre et Marc Saudreau|L.Tadrist.PhD.pdf|
2015|Virot E|Flottement de drapeau et récupération d'énergie|Thèse de doctorat, Ecole Polytechnique|Co-directeurs de thèse : Pascal Hémon et Xavier Amandolèse|E.Virot.PhD.pdf|
2015|Xia Y|Flottement de drapeaux piézoélectriques et récupération d'énergie|Thèse de doctorat, Ecole Polytechnique|Co-directeurs de thèse : Sébastien Michelin et Olivier Doaré|Y.Xia.PhD.pdf|
2015|Yim E|Stability of columnar and pancake vortices in stratified-rotating fluids|Thèse de doctorat, Ecole Polytechnique|Co-directeurs de thèse : Paul Billant et Peter J. Schmid|E.Yim.PhD.pdf|
2016|Bourrianne P|Etude du mouillage de surfaces antiadhésives et super-antiadhésives par des liquides complexes|Thèse de doctorat, Ecole Doctorale de Physique de la Région Parisienne|Co-directeurs de thèse: David Quéré et Christophe Clanet|P.Bourrianne.PhD.pdf|
2016|Dehandschoewercker E|Physique du Surf, ou sur l'entraînement de particules par des ondes|Thèse de doctorat, Ecole Doctorale de Physique de la Région Parisienne|Co-directeurs de thèse: David Quéré et Christophe Clanet||
2016|De Maleprade H|Mouvements aux interfaces et optimisation énergétique|Thèse de doctorat, Ecole Polytechnique|Co-directeurs de thèse: Christophe Clanet et David Quéré|H.de.Memaleprade.PhD.pdf|
2016|Du Pontavice E|Propulsion maritime par cerf-volant|Thèse de doctorat, Ecole Polytechnique|Directeur de thèse: Christophe Clanet|E.Pontavice.PhD.pdf|
2016|Guermonprez C|Droplet-based Microuidic Platform for Quantitative Microbiology|Thèse de doctorat, Ecole Polytechnique|Co-directeurs de thèse: Charles Baroud et Sébastien Michelin|C.Guermonprez.PhD.pdf|
2016|Guillou L|Modelisation Numerique des Larges Deformations des Cellules Endotheliales Vasculaires|Thèse de doctorat, Ecole Polytechnique|Co-directeurs de thèse: Abdul Barakat et Julien Husson|L.Guillou.PhD.pdf|
2016|Mensah-Gourmel J|Modelisation des Stents Biodegradables et leur impact sur la Paroi Arterielle|Thèse de doctorat, Ecole Polytechnique|Co-directeurs de thèse: Abdul Barakat et Antoine Lafont|J.Mensah-Gourmel.PhD.pdf|
2016|Tomasi R|Cytométrie multi-échelle de cultures cellulaires 3D dans des tableaux de billes de gel microfluidiques|Thèse de doctorat, Polytechnique|Directeur de thèse: Charles Baroud|R.Tomasi.PhD.pdf|
2017|Lerisson G|Mixing of deep oceanic water masses induced by gravity waves|Thèse de doctorat, Ecole Polytechnique|Directeur de thèse: J.-M. Chomaz||
2017|Mouterde T|Matériaux multifonctions: antipluie, antibuée, antireflets|Thèse de doctorat, Ecole Polytechnique|Co-directeurs de thèse: David Quéré et Christophe Clanet|T.Mouterde.PhD.pdf|
2017|Richet O|Impact of ocean waves on deep waters mixing and large-scale circulation|Thèse de doctorat, Ecole Polytechnique|Co-directeurs de thèse: C. Muller et J.-M. Chomaz|O.Richet.PhD.pdf|
2017|Vitor M|Droplet-based microfluidic systems to incorporate nucleic acids into cationic liposomes and to transfect mammalian cells in vitro|Thèse de doctorat en co-tutelle entre l'école Polytechnique et l'Université de Campinas au Brésil|Co-directeurs de thèse: Charles Baroud et Lucimara de la Torre|M.Vitor.PhD.pdf|
2018|Coux M|Matériaux texturés activables|Thèse de doctorat, Ecole Polytechnique|Co-directeurs de thèse: David Quéré et Christophe Clanet|M.Coux.PhD.pdf|
2018|Leclercq T|Flow-induced deformations and stress reduction by flexibility|Thèse de doctorat de l'université Paris-Saclay préparée à l'Ecole Polytechnique|Co-directeurs de thèse: E. de Langre et N. Peake|T.Leclercq.PhD.pdf|
2018|Bonnici J|Décorrelation verticale d'un tourbillon soumis à un champ de cisaillement dans un fluide fortement stratifié|Thèse de doctorat de l'université Paris-Saclay préparée à l'Ecole Polytechnique|Directeur de thèse: P. Billant||
